topic,stem,example_word,cooc_n,doc_freq
supervision,busi,business,1430,8485
supervision,addit,addition,1428,8164
supervision,growth,growth,1424,9465
supervision,payment,payment,1414,4842
supervision,object,objective,1400,6194
supervision,complianc,compliance,1397,1436
supervision,decis,decisions,1392,7263
supervision,singl,single,1392,4320
supervision,action,action,1369,6262
supervision,condit,conditions,1363,7994
supervision,oversight,oversight,1358,1478
supervision,analysi,analysis,1355,4674
supervision,situat,situation,1353,6008
supervision,agenc,agencies,1352,2767
supervision,care,carefully,1345,4292
supervision,model,models,1339,4920
supervision,test,testing,1335,3021
supervision,direct,direct,1330,7938
supervision,address,address,1325,7166
supervision,support,support,1325,9094
supervision,examin,examination,1306,3060
supervision,identifi,identify,1291,4297
supervision,balanc,balance,1287,7850
supervision,compani,companies,1282,4805
supervision,structur,structure,1280,7775
supervision,chang,change,1279,8419
supervision,comprehens,comprehensive,1271,2979
supervision,futur,future,1268,8690
supervision,sound,sound,1265,4564
supervision,control,control,1260,4877
supervision,challeng,challenges,1251,7798
supervision,view,view,1243,8264
supervision,key,key,1241,7407
supervision,principl,principles,1235,4188
supervision,micro,micro,1228,1379
supervision,result,results,1224,9045
supervision,remain,remain,1223,9103
supervision,speech,speech,1200,8530
supervision,signific,significant,1196,9163
supervision,integr,integration,1193,4734
supervision,reform,reforms,1179,4984
supervision,individu,individual,1174,5664
supervision,program,program,1174,2747
supervision,subject,subject,1143,4454
supervision,basi,basis,1140,6516
supervision,cost,costs,1137,8280
supervision,organ,organizations,1127,2677
supervision,discuss,discuss,1126,7832
supervision,macroprudenti,macroprudential,1102,1188
supervision,effort,efforts,1095,6395
supervision,indic,indicators,1086,5116
supervision,fund,funds,1080,7282
supervision,consist,consistent,1068,6299
supervision,perform,performance,1055,5665
supervision,task,tasks,1054,3882
supervision,council,council,1039,3123
supervision,take,taking,1027,7277
supervision,macroeconom,macroeconomic,1011,4932
supervision,independ,independent,1006,3752
supervision,servic,services,1000,7323
supervision,specif,specific,992,6090
supervision,involv,involved,986,5293
supervision,particip,participants,986,7010
supervision,understand,understand,972,6350
supervision,exchang,exchange,965,6673
supervision,cooper,cooperation,960,2931
supervision,import,importance,954,7879
supervision,perspect,perspective,954,5084
supervision,relev,relevant,954,4824
supervision,act,act,947,5643
supervision,achiev,achieve,946,7812
supervision,concern,concerns,946,7040
supervision,limit,limited,946,6979
supervision,secur,securities,944,6601
supervision,fiscal,fiscal,943,5322
supervision,plan,plans,941,5148
supervision,propos,proposed,939,3522
supervision,strong,strong,930,7686
supervision,progress,progress,929,5891
supervision,consolid,consolidated,927,2659
supervision,lend,lending,925,5111
supervision,meet,meeting,923,7390
supervision,hold,holding,916,5862
supervision,transpar,transparency,898,4038
supervision,initi,initiatives,889,6367
supervision,factor,factors,884,7296
supervision,instrument,instruments,881,4945
supervision,start,start,862,7535
supervision,posit,position,860,8017
supervision,step,step,850,5589
supervision,financ,finance,847,7947
supervision,guidanc,guidance,844,2239
supervision,wide,wide,832,5803
supervision,qualiti,quality,827,4331
supervision,climat,climate,823,1275
supervision,invest,investment,822,8269
supervision,final,finally,820,6498
supervision,coordin,coordination,819,2789
supervision,question,question,819,6406
supervision,communiti,community,818,3178
supervision,major,major,818,7491
supervision,loan,loans,813,4960
supervision,creat,created,811,6978
supervision,complex,complex,810,4160
supervision,contribut,contribute,804,8230
supervision,benefit,benefits,801,6921
supervision,resolut,resolution,801,2307
supervision,broad,broad,798,5923
supervision,product,products,797,8348
supervision,effici,efficient,787,5774
supervision,appli,apply,784,4339
supervision,industri,industry,781,6331
supervision,play,play,778,6968
supervision,reduc,reduce,778,8135
supervision,target,target,778,6532
supervision,evalu,evaluation,777,2784
supervision,forward,forward,777,6157
supervision,union,union,776,3482
supervision,site,site,775,819
supervision,consum,consumer,774,5907
supervision,experi,experience,771,6689
supervision,real,real,770,7991
supervision,resili,resilience,765,3793
supervision,entiti,entities,758,2372
supervision,period,period,757,8245
supervision,share,share,757,7446
supervision,line,line,754,6109
supervision,strategi,strategy,749,4744
supervision,reflect,reflect,748,7691
supervision,context,context,736,5224
supervision,exist,existing,736,5905
supervision,rang,range,735,6504
supervision,time,times,735,7372
supervision,element,elements,733,4027
supervision,aim,aim,732,5618
supervision,regard,regard,732,4875
supervision,emerg,emerging,731,6997
supervision,banker,bankers,729,4685
supervision,implic,implications,724,4541
supervision,vulner,vulnerabilities,722,3071
supervision,design,designed,719,4675
supervision,money,money,718,6018
supervision,pillar,pillar,718,1299
supervision,corpor,corporate,714,5308
supervision,reason,reasons,714,7337
supervision,protect,protection,709,4221
supervision,respect,respect,709,5217
supervision,difficult,difficult,708,5983
supervision,ssm,ssm,708,197
supervision,legal,legal,702,3081
supervision,exposur,exposures,697,2633
supervision,regular,regular,688,2911
supervision,natur,nature,682,6192
supervision,build,building,680,5420
supervision,call,called,680,6369
supervision,cross,cross,679,3361
supervision,law,law,678,3005
supervision,maintain,maintain,678,6909
supervision,consider,considerations,677,6594
supervision,exercis,exercise,676,2272
supervision,surveil,surveillance,671,741
supervision,borrow,borrowers,659,4702
supervision,settlement,settlement,658,2885
supervision,adequaci,adequacy,655,1116
supervision,affect,affect,650,6920
supervision,prevent,prevent,650,4443
supervision,adopt,adopted,649,5126
supervision,project,project,645,5236
supervision,power,powers,644,4667
supervision,recommend,recommendations,641,2292
supervision,detail,detailed,640,4336
supervision,foreign,foreign,640,5387
supervision,world,world,639,7906
supervision,regim,regime,638,2921
supervision,bodi,body,637,1972
supervision,main,main,636,6282
supervision,critic,critical,635,4617
supervision,form,form,633,5808
supervision,imf,imf,633,2589
supervision,trend,trends,633,5708
supervision,essenti,essential,632,5155
supervision,forecast,forecast,631,3715
supervision,domest,domestic,626,6736
supervision,adjust,adjustment,620,6490
supervision,infrastructur,infrastructure,620,3553
supervision,sustain,sustainable,620,6785
supervision,unit,united,606,6310
supervision,applic,application,605,2695
supervision,publish,published,605,3838
supervision,border,border,604,2760
supervision,common,common,602,4841
supervision,month,months,602,6674
supervision,carri,carried,601,3762
supervision,past,past,600,8140
supervision,arrang,arrangements,599,2990
supervision,adequ,adequate,595,3011
supervision,extent,extent,592,5514
supervision,separ,separate,589,2212
supervision,offic,office,582,2793
supervision,promot,promote,582,5002
supervision,procedur,procedures,581,2184
supervision,staff,staff,581,3358
supervision,communic,communication,579,3721
supervision,demand,demand,574,7913
supervision,governor,governors,574,7839
supervision,ongo,ongoing,569,3354
supervision,bis,bis,568,3371
supervision,medium,medium,568,5233
supervision,competit,competition,567,5606
supervision,environ,environment,567,6623
supervision,abil,ability,562,4424
supervision,attent,attention,561,5485
supervision,safeti,safety,558,2192
supervision,aspect,aspects,556,3980
supervision,lead,lead,553,7389
supervision,move,move,551,6696
supervision,incent,incentives,547,3538
supervision,determin,determine,546,5448
supervision,mean,means,546,6380
supervision,core,core,543,3742
supervision,sheet,sheet,541,4079
supervision,execut,executive,535,3754
supervision,enforc,enforcement,532,1452
supervision,commiss,commission,531,2759
supervision,proper,proper,523,2532
supervision,trade,trade,522,6904
supervision,rbi,rbi,517,796
supervision,audit,audit,515,630
supervision,norm,norms,514,1052
supervision,extern,external,511,4632
supervision,investor,investors,510,4780
supervision,legisl,legislation,509,2218
supervision,note,note,507,5956
supervision,transact,transactions,502,4298
supervision,deposit,deposit,501,3816
supervision,resourc,resources,500,4839
supervision,scenario,scenario,498,2946
supervision,conclus,conclusion,496,5817
supervision,pressur,pressures,496,6229
supervision,disclosur,disclosure,495,1453
supervision,converg,convergence,494,1915
supervision,technolog,technology,493,4506
supervision,evolv,evolving,491,3250
supervision,help,helps,489,5770
supervision,field,field,488,2664
supervision,robust,robust,487,3552
supervision,under,underlying,487,4241
supervision,degre,degree,485,4821
supervision,suggest,suggest,485,6226
supervision,pra,pra,481,278
supervision,debt,debt,480,5835
supervision,short,short,479,7530
supervision,capac,capacity,477,4840
supervision,custom,customers,475,2736
supervision,suffici,sufficient,475,4569
supervision,day,day,473,4852
supervision,england,england,471,2199
supervision,provis,provisions,471,3736
supervision,currenc,currency,469,5601
supervision,prepar,prepared,468,4534
supervision,confer,conference,466,5250
supervision,statement,statement,466,3338
supervision,event,events,465,5598
supervision,europ,europe,464,4129
supervision,uncertainti,uncertainty,462,5626
supervision,depend,depend,461,5969
supervision,privat,private,460,6610
supervision,iii,iii,459,2415
supervision,introduc,introduced,458,4266
supervision,mitig,mitigate,458,2719
supervision,mention,mentioned,456,4830
supervision,esrb,esrb,454,209
supervision,remark,remarks,451,6926
supervision,innov,innovation,450,4308
supervision,complet,complete,448,4635
supervision,mandat,mandate,448,3649
supervision,purpos,purpose,448,3718
supervision,failur,failure,445,2839
supervision,disciplin,discipline,443,2124
supervision,observ,observed,442,5207
supervision,research,research,442,4438
supervision,sourc,sources,441,5581
supervision,refer,reference,438,4827
supervision,earlier,earlier,437,5384
supervision,hand,hand,437,5113
supervision,commit,commitment,434,4988
supervision,access,access,432,4722
supervision,opportun,opportunity,430,6607
supervision,encourag,encourage,429,5189
supervision,matter,matters,425,4323
supervision,paper,paper,425,4384
supervision,success,success,425,5993
supervision,size,size,423,4799
supervision,complement,complement,422,1713
supervision,hous,housing,422,4407
supervision,shock,shocks,422,5222
supervision,lesson,lessons,421,3078
supervision,leverag,leverage,420,2679
supervision,quantit,quantitative,419,2434
supervision,run,run,418,5763
supervision,similar,similar,418,5903
supervision,revis,revised,416,3010
supervision,evid,evidence,415,5478
supervision,weak,weaknesses,414,4607
supervision,jurisdict,jurisdictions,413,1489
supervision,conclud,conclude,410,5131
supervision,cover,cover,409,3606
supervision,explain,explain,409,4709
supervision,begin,begin,408,5699
supervision,excess,excessive,408,4950
supervision,goal,goal,408,3967
supervision,imbal,imbalances,408,2698
supervision,rais,raise,408,6572
supervision,collect,collection,405,3120
supervision,fundament,fundamental,405,4789
supervision,bring,bring,404,5629
supervision,chair,chair,404,1542
supervision,director,directors,404,2119
supervision,household,households,404,5310
supervision,india,india,403,1734
supervision,region,regional,403,4177
supervision,enabl,enable,402,3737
supervision,repres,representatives,402,5228
supervision,compet,competent,399,2168
supervision,ratio,ratio,396,3989
supervision,agre,agreed,394,3071
supervision,correct,correct,394,3173
supervision,gap,gaps,392,3416
supervision,incom,incoming,392,5907
supervision,advanc,advanced,388,5758
supervision,deal,deal,388,4464
supervision,eurosystem,eurosystem,387,1270
supervision,guidelin,guidelines,387,1449
supervision,combin,combination,386,4393
supervision,low,low,386,7975
supervision,loss,losses,385,4683
supervision,minimum,minimum,384,2266
supervision,outcom,outcomes,384,3729
supervision,stanc,stance,384,2989
supervision,confid,confidence,383,5939
supervision,consid,considered,382,3852
supervision,quarter,quarterly,382,5450
supervision,annual,annual,381,5704
supervision,employ,employment,380,5494
supervision,facilit,facilitate,379,4061
supervision,counterparti,counterparties,375,1795
supervision,prospect,prospects,371,3926
supervision,prioriti,priorities,370,2617
supervision,crucial,crucial,368,3640
supervision,flow,flows,368,4872
supervision,due,due,366,5903
supervision,joint,joint,365,2421
supervision,broader,broader,364,3139
supervision,april,april,363,4379
supervision,relationship,relationship,363,3652
supervision,tradit,traditional,361,3507
supervision,mortgag,mortgage,360,2713
supervision,analys,analyses,357,1951
supervision,march,march,357,4840
supervision,novemb,november,357,4044
supervision,return,return,357,6112
supervision,reli,rely,355,3074
supervision,avoid,avoid,352,4650
supervision,aggreg,aggregate,351,4100
supervision,releas,released,350,3160
supervision,cycl,cycle,349,3735
supervision,highlight,highlight,349,3534
supervision,type,types,349,4001
supervision,largest,largest,348,2884
supervision,home,home,347,3416
supervision,interact,interaction,347,2489
supervision,manner,manner,347,3493
supervision,consequ,consequences,346,4799
supervision,deriv,derivatives,346,2836
supervision,organis,organisation,345,2694
supervision,vice,vice,345,1683
supervision,commerci,commercial,343,3206
supervision,pose,pose,342,3217
supervision,engag,engage,341,2783
supervision,compar,compared,339,5859
supervision,scope,scope,339,2997
supervision,defin,defined,338,3667
supervision,decid,decided,335,3906
supervision,fsb,fsb,335,603
supervision,lender,lenders,335,2096
supervision,differ,differences,333,4555
supervision,microprudenti,microprudential,333,322
supervision,septemb,september,333,4825
supervision,extend,extended,332,4305
supervision,guid,guide,331,2476
supervision,special,special,331,3422
supervision,suppli,supply,329,5737
supervision,octob,october,328,4380
supervision,serv,serve,328,4077
supervision,stronger,stronger,326,3531
supervision,expand,expanded,324,4898
supervision,programm,programme,324,2393
supervision,dynam,dynamics,322,3823
supervision,substanti,substantial,322,5408
supervision,instanc,instance,321,3308
supervision,consult,consultation,319,1903
supervision,light,light,319,3061
supervision,analyt,analytical,318,1252
supervision,harmonis,harmonised,317,1097
supervision,cultur,culture,316,1529
supervision,stage,stage,316,3566
supervision,policymak,policymakers,315,2553
supervision,recoveri,recovery,315,4800
supervision,code,codes,313,915
supervision,transit,transition,313,2681
supervision,compon,component,312,2891
supervision,reach,reached,312,5976
supervision,statist,statistics,312,2959
supervision,fair,fair,311,3244
supervision,influenc,influence,311,4466
supervision,lower,lower,310,7285
supervision,appropri,appropriately,307,1782
supervision,intend,intended,307,2884
supervision,make,makes,307,3612
supervision,reinforc,reinforce,307,2608
supervision,shadow,shadow,306,769
supervision,aris,arise,305,3583
supervision,june,june,303,4627
supervision,ultim,ultimately,303,4061
supervision,seek,seek,301,3424
supervision,forc,force,300,5721
supervision,portfolio,portfolio,300,2898
supervision,shift,shift,300,4564
supervision,eas,easing,299,4083
supervision,path,path,299,4059
supervision,methodolog,methodology,297,956
supervision,offer,offer,296,4724
supervision,survey,survey,295,3745
supervision,estim,estimates,294,4772
supervision,intens,intensive,294,2404
supervision,introduct,introduction,294,4569
supervision,fail,fail,293,2908
supervision,respond,respond,292,4529
supervision,decemb,december,291,4036
supervision,rise,rise,290,7022
supervision,depart,department,289,1797
supervision,percent,percent,289,3380
supervision,stand,stand,288,3730
supervision,incorpor,incorporate,286,1872
supervision,lack,lack,286,3483
supervision,extens,extensive,284,2882
supervision,basic,basic,282,3135
supervision,burden,burden,281,2424
supervision,judgement,judgement,281,1049
supervision,pursu,pursued,281,3418
supervision,recognis,recognised,281,2457
supervision,creation,creation,280,2976
supervision,learn,learned,280,3451
supervision,primari,primary,280,3344
supervision,ahead,ahead,277,4302
supervision,possibl,possibility,276,4520
supervision,awar,aware,275,3533
supervision,charg,charge,274,1993
supervision,juli,july,274,3522
supervision,receiv,received,274,3684
supervision,featur,features,273,3557
supervision,find,findings,273,2128
supervision,draw,draw,271,3060
supervision,allow,allowed,270,4080
supervision,concentr,concentration,270,2622
supervision,senior,senior,270,1487
supervision,post,post,268,3439
supervision,mind,mind,267,3694
supervision,previous,previous,267,4976
supervision,talk,talk,267,3760
supervision,clear,clearing,266,1395
supervision,head,heads,265,2054
supervision,led,led,265,5135
supervision,updat,update,265,2211
supervision,fall,fall,263,5581
supervision,januari,january,263,4072
supervision,output,output,263,4169
supervision,gain,gained,262,4780
supervision,purchas,purchases,262,4610
supervision,studi,study,262,3809
supervision,accur,accurately,261,1439
supervision,criteria,criteria,261,1428
supervision,evolut,evolution,261,2271
supervision,team,teams,261,945
supervision,bcbs,bcbs,260,254
supervision,fed,fed,259,1795
supervision,grow,growing,256,6088
supervision,safeguard,safeguards,256,1633
supervision,canada,canada,255,1436
supervision,solvenc,solvency,255,844
supervision,mpc,mpc,254,914
supervision,found,found,253,3982
supervision,recogn,recognize,253,2260
supervision,capabl,capabilities,252,1908
supervision,comment,comments,252,3061
supervision,link,linked,252,4095
supervision,benchmark,benchmark,251,1560
supervision,tailor,tailored,251,742
supervision,topic,topic,251,3059
supervision,forum,forum,250,2325
supervision,sens,sense,250,3852
supervision,strength,strength,250,3067
supervision,branch,branches,249,1482
supervision,multilater,multilateral,249,751
supervision,emphasi,emphasis,248,1669
supervision,ccps,ccps,247,210
supervision,definit,definition,247,2543
supervision,labour,labour,247,3179
supervision,snb,snb,247,493
supervision,stabl,stable,247,5338
supervision,word,words,246,4336
supervision,transfer,transfer,245,2788
supervision,threat,threats,243,2005
supervision,crise,crises,242,2583
supervision,profil,profile,242,1422
supervision,explicit,explicit,241,2070
supervision,aml,aml,240,130
supervision,bond,bond,240,4573
supervision,restrict,restrictions,239,2987
supervision,readi,ready,238,1837
supervision,circumst,circumstances,236,3925
supervision,credibl,credibility,236,3193
supervision,enterpris,enterprise,236,2158
supervision,face,facing,236,4985
supervision,rigor,rigorous,236,793
supervision,technic,technical,236,2593
supervision,warn,warning,236,1118
supervision,dimens,dimension,235,1760
supervision,flexibl,flexibility,235,4337
supervision,materi,material,235,3070
supervision,tighten,tightening,235,3224
supervision,wage,wage,235,3451
supervision,assum,assume,234,3309
supervision,follow,follow,234,2625
supervision,net,net,234,4339
supervision,approv,approval,233,1618
supervision,chart,chart,230,1899
supervision,deliv,deliver,230,3718
supervision,formal,formal,230,1914
supervision,health,health,230,2291
supervision,undertak,undertake,230,1744
supervision,check,check,229,1394
supervision,indonesia,indonesia,229,531
supervision,constant,constantly,227,2098
supervision,transmiss,transmission,227,2723
supervision,announc,announced,226,3667
supervision,behaviour,behaviour,225,2367
supervision,expertis,expertise,224,1220
supervision,qualit,qualitative,223,989
supervision,come,coming,222,3586
supervision,judgment,judgment,222,1384
supervision,agreement,agreement,221,2752
supervision,assur,assurance,221,1469
supervision,collater,collateral,219,2346
supervision,cyclic,cyclical,219,2325
supervision,background,background,217,2511
supervision,gradual,gradually,217,4439
supervision,japan,japan,216,2754
supervision,warrant,warranted,215,1631
supervision,amount,amount,214,5372
supervision,normal,normal,214,3395
supervision,undertaken,undertaken,214,1533
supervision,buffer,buffers,213,1675
supervision,subsidiari,subsidiaries,213,712
supervision,method,methods,212,1854
supervision,pace,pace,212,4311
supervision,parti,party,212,2064
supervision,align,aligned,211,1536
supervision,identif,identification,211,767
supervision,impli,implies,211,3651
supervision,knowledg,knowledge,211,2303
supervision,outlin,outlined,211,1754
supervision,polit,political,211,3423
supervision,adapt,adapt,210,2469
supervision,altern,alternative,210,3154
supervision,host,host,210,1692
supervision,intervent,intervention,210,2138
supervision,job,job,210,4016
supervision,confirm,confirmed,209,2168
supervision,inspect,inspection,209,268
supervision,phase,phase,209,2872
supervision,statutori,statutory,209,1033
supervision,closer,closer,208,2074
supervision,channel,channels,207,3566
supervision,bear,bear,206,3060
supervision,figur,figure,206,3021
supervision,hope,hope,206,3767
supervision,option,options,206,2835
supervision,sign,signs,206,3926
supervision,prudent,prudent,205,1682
supervision,accord,accord,204,1560
supervision,assist,assistance,204,2924
supervision,conflict,conflicts,204,1437
supervision,declin,decline,204,6188
supervision,emphas,emphasize,204,1830
supervision,origin,original,204,3289
supervision,parliament,parliament,204,1316
supervision,impos,imposed,203,2117
supervision,retail,retail,203,2615
supervision,accept,accepted,202,3648
supervision,document,document,202,1895
supervision,rapid,rapidly,202,5422
supervision,concept,concept,201,2274
supervision,negat,negative,201,4577
supervision,variabl,variables,201,2343
supervision,week,week,201,3380
supervision,argu,argue,200,3180
supervision,fourth,fourth,200,2967
supervision,cyber,cyber,199,377
supervision,date,date,199,3333
supervision,formul,formulation,199,1494
supervision,nonbank,nonbank,199,518
supervision,profit,profitability,199,4029
supervision,mutual,mutual,198,1864
supervision,debat,debate,197,3084
supervision,trust,trust,197,2474
supervision,occur,occur,196,4124
supervision,umbrella,umbrella,196,221
supervision,ago,ago,195,4544
supervision,expert,experts,195,1493
supervision,indian,indian,195,993
supervision,local,local,195,2779
supervision,swiss,swiss,195,936
supervision,fpc,fpc,194,271
supervision,treasuri,treasury,193,2328
supervision,total,total,192,5354
supervision,distribut,distribution,191,3296
supervision,assign,assigned,190,1231
supervision,compris,comprising,190,1361
supervision,sanction,sanctions,190,596
supervision,south,south,190,1453
supervision,argument,arguments,189,1979
supervision,calibr,calibrated,189,1204
supervision,entir,entire,189,2254
supervision,foster,foster,189,2729
supervision,top,top,189,2448
supervision,briefli,briefly,188,2485
supervision,maker,makers,188,2292
supervision,scale,scale,188,4021
supervision,answer,answer,187,3179
supervision,conglomer,conglomerates,187,204
supervision,equal,equally,187,3343
supervision,inflationari,inflationary,187,2750
supervision,brought,brought,186,2944
supervision,oblig,obligations,186,2218
supervision,architectur,architecture,185,1033
supervision,februari,february,185,3374
supervision,hard,hard,185,3140
supervision,held,held,185,4386
supervision,strict,strict,185,1215
supervision,advantag,advantage,184,3617
supervision,intermedi,intermediation,184,2405
supervision,volatil,volatility,184,4316
supervision,advers,adverse,183,3374
supervision,agenda,agenda,183,1964
supervision,counter,counter,183,1961
supervision,fulfil,fulfil,183,2423
supervision,treati,treaty,183,1147
supervision,interim,interim,182,513
supervision,letter,letter,182,902
supervision,movement,movements,181,3430
supervision,orient,oriented,181,2029
supervision,peopl,people,181,5413
supervision,precis,precisely,181,2526
supervision,resolv,resolvability,181,2082
supervision,actual,actual,179,2717
supervision,gdp,gdp,179,5136
supervision,high,highly,179,4413
supervision,input,input,179,1955
supervision,idea,idea,178,2951
supervision,nbfcs,nbfcs,178,252
supervision,section,section,178,1437
supervision,articl,article,177,1327
supervision,systemat,systematic,177,1033
supervision,environment,environmental,176,589
supervision,intermediari,intermediaries,176,1604
supervision,maximum,maximum,176,1635
supervision,pre,pre,176,3355
supervision,think,thinking,176,2284
supervision,launch,launched,175,2609
supervision,alloc,allocation,174,2823
supervision,constitut,constituted,174,2278
supervision,yield,yield,174,3716
supervision,congress,congress,173,1283
supervision,difficulti,difficulties,172,3114
supervision,digit,digital,172,1766
supervision,scheme,schemes,172,2039
supervision,centr,centre,171,2140
supervision,persist,persistent,171,3977
supervision,produc,produce,171,3898
supervision,decad,decade,170,5228
supervision,sever,severe,170,3547
supervision,cash,cash,169,3130
supervision,colleagu,colleagues,169,2360
supervision,equiti,equity,169,3634
supervision,moder,moderate,169,3610
supervision,quick,quickly,169,4009
supervision,thrift,thrift,169,291
supervision,wider,wider,169,2198
supervision,compli,comply,168,920
supervision,histor,historical,168,4234
supervision,network,network,168,2132
supervision,pay,pay,168,4025
supervision,simpl,simple,168,2530
supervision,supplement,supplemented,168,914
supervision,happen,happen,167,3181
supervision,larger,larger,167,3756
supervision,rest,rest,166,2876
supervision,uniform,uniform,166,810
supervision,guarante,guarantee,165,2526
supervision,segment,segments,165,2149
supervision,seri,series,165,3345
supervision,cent,cent,164,2484
supervision,half,half,164,5314
supervision,chairman,chairman,163,2614
supervision,expans,expansion,163,4100
supervision,extrem,extremely,163,3449
supervision,inadequ,inadequate,163,983
supervision,launder,laundering,163,373
supervision,pact,pact,163,666
supervision,press,press,163,3160
supervision,stock,stock,163,4154
supervision,techniqu,techniques,163,1076
supervision,fomc,fomc,162,737
supervision,prove,proved,162,2940
supervision,weight,weight,162,2721
supervision,desir,desirable,161,3117
supervision,entrust,entrusted,161,479
supervision,estat,estate,161,1659
supervision,auditor,auditors,160,256
supervision,billion,billion,160,3614
supervision,prompt,prompt,160,1981
supervision,administr,administration,159,1742
supervision,australian,australian,159,643
supervision,demonstr,demonstrated,159,2663
supervision,distinct,distinct,159,1937
supervision,primarili,primarily,159,2257
supervision,safe,safe,159,2315
supervision,remov,remove,158,2372
supervision,smooth,smooth,158,3000
supervision,track,track,158,2006
supervision,concret,concrete,157,1112
supervision,inter,inter,157,1400
supervision,lie,lies,157,2167
supervision,lot,lot,157,2569
supervision,peer,peer,157,897
supervision,russia,russia,157,853
supervision,assumpt,assumptions,156,2185
supervision,fit,fit,156,1495
supervision,obtain,obtain,156,2140
supervision,offici,official,156,2490
supervision,solut,solutions,156,2734
supervision,true,true,156,3497
supervision,vari,varying,156,2554
supervision,detect,detect,155,700
supervision,restructur,restructuring,155,1643
supervision,signal,signals,155,2467
supervision,histori,history,154,3584
supervision,insight,insights,154,1725
supervision,apra,apra,153,125
supervision,overse,oversee,153,495
supervision,simpli,simply,153,2910
supervision,tax,tax,153,3313
supervision,explor,explore,152,1980
supervision,labor,labor,152,1955
supervision,reveal,revealed,152,1819
supervision,anti,anti,151,654
supervision,notabl,notably,151,2809
supervision,construct,construction,150,2949
supervision,downsid,downside,150,1935
supervision,person,personal,150,3413
supervision,fsa,fsa,149,217
supervision,preserv,preserve,149,2261
supervision,skill,skills,149,2025
supervision,societi,society,149,3110
supervision,spillov,spillovers,149,1283
supervision,draft,draft,148,1031
supervision,facil,facilities,148,2596
supervision,liabil,liabilities,148,2428
supervision,shape,shape,148,2324
supervision,covid,covid,147,908
supervision,probabl,probability,147,1664
supervision,inclus,inclusion,146,1563
supervision,optim,optimal,146,2390
supervision,add,add,145,2589
supervision,creditworthi,creditworthiness,145,635
supervision,frank,frank,145,774
supervision,reliabl,reliable,145,1717
supervision,touch,touch,145,1878
supervision,unemploy,unemployment,145,3709
supervision,vital,vital,145,1992
supervision,generat,generate,144,4528
supervision,judg,judge,144,2373
supervision,multipl,multiple,144,1854
supervision,switzerland,switzerland,144,1019
