tone_group,bigram,n,tf,idf,tf_idf
dovish,savings ratio,60,7.27830289385323e-5,0.6931471805599453,5.044935130135657e-5
dovish,epidemic control,59,7.156997845622344e-5,0.6931471805599453,4.96085287796673e-5
dovish,cutting edge,58,7.035692797391456e-5,0.6931471805599453,4.8767706257978027e-5
dovish,lower inflation,57,6.914387749160569e-5,0.6931471805599453,4.7926883736288746e-5
dovish,security system,57,6.914387749160569e-5,0.6931471805599453,4.7926883736288746e-5
dovish,labour input,56,6.793082700929681e-5,0.6931471805599453,4.7086061214599466e-5
dovish,islamic financial,55,6.671777652698795e-5,0.6931471805599453,4.62452386929102e-5
dovish,retirement age,55,6.671777652698795e-5,0.6931471805599453,4.62452386929102e-5
dovish,fiscal space,54,6.550472604467908e-5,0.6931471805599453,4.540441617122092e-5
dovish,lower levels,54,6.550472604467908e-5,0.6931471805599453,4.540441617122092e-5
dovish,prime age,54,6.550472604467908e-5,0.6931471805599453,4.540441617122092e-5
dovish,risk adjusted,54,6.550472604467908e-5,0.6931471805599453,4.540441617122092e-5
dovish,total cpi,54,6.550472604467908e-5,0.6931471805599453,4.540441617122092e-5
dovish,delivery channels,53,6.42916755623702e-5,0.6931471805599453,4.456359364953164e-5
dovish,mining sector,53,6.42916755623702e-5,0.6931471805599453,4.456359364953164e-5
dovish,south korea,53,6.42916755623702e-5,0.6931471805599453,4.456359364953164e-5
dovish,toshihiko fukui,53,6.42916755623702e-5,0.6931471805599453,4.456359364953164e-5
dovish,asian economy,52,6.307862508006133e-5,0.6931471805599453,4.3722771127842366e-5
dovish,human resource,52,6.307862508006133e-5,0.6931471805599453,4.3722771127842366e-5
dovish,lower rates,51,6.186557459775245e-5,0.6931471805599453,4.2881948606153086e-5
dovish,qualitative monetary,51,6.186557459775245e-5,0.6931471805599453,4.2881948606153086e-5
dovish,scs rcs,51,6.186557459775245e-5,0.6931471805599453,4.2881948606153086e-5
dovish,basel accord,50,6.0652524115443585e-5,0.6931471805599453,4.204112608446381e-5
dovish,dec dec,50,6.0652524115443585e-5,0.6931471805599453,4.204112608446381e-5
dovish,fiscal position,50,6.0652524115443585e-5,0.6931471805599453,4.204112608446381e-5
dovish,annual hours,49,5.943947363313472e-5,0.6931471805599453,4.120030356277454e-5
dovish,fiscal union,49,5.943947363313472e-5,0.6931471805599453,4.120030356277454e-5
dovish,liu guoqiang,49,5.943947363313472e-5,0.6931471805599453,4.120030356277454e-5
dovish,lower level,49,5.943947363313472e-5,0.6931471805599453,4.120030356277454e-5
dovish,cares act,48,5.822642315082584e-5,0.6931471805599453,4.035948104108526e-5
dovish,fx market,48,5.822642315082584e-5,0.6931471805599453,4.035948104108526e-5
dovish,easing measures,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,estate financial,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,lower costs,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,security trust,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,sheet adjustment,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,significantly lower,47,5.7013372668516975e-5,0.6931471805599453,3.9518658519395985e-5
dovish,insurance sector,46,5.58003221862081e-5,0.6931471805599453,3.8677835997706705e-5
dovish,nonperforming loans,46,5.58003221862081e-5,0.6931471805599453,3.8677835997706705e-5
dovish,financial planning,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,foreign demand,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,ii implementation,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,lower oil,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,lower prices,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,report update,45,5.458727170389923e-5,0.6931471805599453,3.783701347601743e-5
dovish,core cpi,44,5.337422122159036e-5,0.6931471805599453,3.699619095432815e-5
dovish,effective lower,44,5.337422122159036e-5,0.6931471805599453,3.699619095432815e-5
dovish,investment boom,44,5.337422122159036e-5,0.6931471805599453,3.699619095432815e-5
dovish,rate cuts,44,5.337422122159036e-5,0.6931471805599453,3.699619095432815e-5
dovish,substitute checks,44,5.337422122159036e-5,0.6931471805599453,3.699619095432815e-5
dovish,call rate,43,5.216117073928149e-5,0.6931471805599453,3.615536843263888e-5
dovish,defined benefit,43,5.216117073928149e-5,0.6931471805599453,3.615536843263888e-5
dovish,excluding fresh,43,5.216117073928149e-5,0.6931471805599453,3.615536843263888e-5
dovish,lower growth,43,5.216117073928149e-5,0.6931471805599453,3.615536843263888e-5
dovish,business leaders,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,governor pan,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,loan losses,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,profit margins,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,property market,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,rupiah exchange,42,5.0948120256972614e-5,0.6931471805599453,3.5314545910949605e-5
dovish,hoc treasury,41,4.973506977466374e-5,0.6931471805599453,3.4473723389260325e-5
dovish,private demand,41,4.973506977466374e-5,0.6931471805599453,3.4473723389260325e-5
dovish,secured debt,41,4.973506977466374e-5,0.6931471805599453,3.4473723389260325e-5
dovish,western australia,41,4.973506977466374e-5,0.6931471805599453,3.4473723389260325e-5
dovish,congressional budget,40,4.852201929235487e-5,0.6931471805599453,3.363290086757105e-5
dovish,rba graph,40,4.852201929235487e-5,0.6931471805599453,3.363290086757105e-5
dovish,security benefits,40,4.852201929235487e-5,0.6931471805599453,3.363290086757105e-5
dovish,current capital,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,key enterprises,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,policy space,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,private saving,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,talent management,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,weak growth,39,4.7308968810045996e-5,0.6931471805599453,3.279207834588177e-5
dovish,budget office,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,clearing corporation,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,fiscal capacity,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,global recovery,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,household saving,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,outlook report,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,risky assets,38,4.609591832773713e-5,0.6931471805599453,3.19512558241925e-5
dovish,accommodative financial,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,basel capital,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,capital deepening,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,common language,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,dependency ratio,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,es balances,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,governor liu,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,increasingly difficult,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,low wage,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,lower capital,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,monetary accommodation,37,4.4882867845428253e-5,0.6931471805599453,3.111043330250322e-5
dovish,bad news,36,4.3669817363119385e-5,0.6931471805599453,3.0269610780813947e-5
dovish,boom generation,36,4.3669817363119385e-5,0.6931471805599453,3.0269610780813947e-5
dovish,investment plans,36,4.3669817363119385e-5,0.6931471805599453,3.0269610780813947e-5
dovish,outright purchases,36,4.3669817363119385e-5,0.6931471805599453,3.0269610780813947e-5
dovish,extreme weather,35,4.245676688081051e-5,0.6931471805599453,2.9428788259124667e-5
dovish,islamic finance,35,4.245676688081051e-5,0.6931471805599453,2.9428788259124667e-5
dovish,life insurers,35,4.245676688081051e-5,0.6931471805599453,2.9428788259124667e-5
dovish,manage risks,35,4.245676688081051e-5,0.6931471805599453,2.9428788259124667e-5
dovish,capital arbitrage,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,debt ratios,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,employment outlook,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,fednow service,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,intermediation function,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,labor costs,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,payment costs,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,rpix inflation,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,stimulus measures,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,tax system,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,virtuous cycle,34,4.124371639850164e-5,0.6931471805599453,2.8587965737435394e-5
dovish,affairs house,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,education system,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,educational institutions,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,financial enterprises,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,force survey,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,government paper,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,market corporate,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,mining business,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,national statistics,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,overcome deflation,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,target balances,33,4.003066591619277e-5,0.6931471805599453,2.7747143215746117e-5
dovish,competitive equity,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,cpi excluding,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,dated securities,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,estate loans,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,fiscal adjustment,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,global warming,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,guarantee scheme,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,sector debt,32,3.88176154338839e-5,0.6931471805599453,2.6906320694056844e-5
dovish,accounting profession,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,adequacy ratio,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,billion worth,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,gongsheng attends,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,land prices,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,peripheral countries,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,tax cuts,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,unconventional policies,31,3.7604564951575025e-5,0.6931471805599453,2.6065498172367563e-5
dovish,climate scenarios,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,debt recovery,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,employment protection,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,expected losses,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,exporting economies,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,financially literate,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,iii capital,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,iron ore,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,market function,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,negative growth,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,recovery path,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,research discussion,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,sarfaesi act,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,tax increases,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,technological innovations,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,total loans,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,weak economic,30,3.639151446926615e-5,0.6931471805599453,2.5224675650678287e-5
dovish,baby boomers,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,bubble burst,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,deposit rate,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,electronic commerce,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,financing strategies,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,fukui governor,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,housing wealth,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,labor statistics,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,model risk,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,municipal bond,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,negative rates,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,systems including,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,taper tantrum,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,unified budget,29,3.517846398695728e-5,0.6931471805599453,2.4383853128989013e-5
dovish,agriculture sector,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,basel framework,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,credit easing,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,financial trilemma,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,haruhiko kuroda,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,payroll taxes,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,pbc governor,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,price front,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,proposed legislation,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,raising capital,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,randzio plath,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,rba research,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,secrecy act,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,service industries,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,smart growth,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,standardized approach,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,structural weaknesses,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,trade barriers,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,unbanked villages,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,xi jinping,28,3.396541350464841e-5,0.6931471805599453,2.3543030607299733e-5
dovish,bad loans,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,debt overhang,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,economic society,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,economy wide,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,fair lending,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,fiscal transparency,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,funding facility,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,ii conduct,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,inverse dependency,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,lower transaction,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,municipal bonds,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,payment obligations,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,portfolio management,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,price indexes,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,repo rates,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,sources ons,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,technology adoption,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,term average,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,uncollateralized overnight,27,3.275236302233954e-5,0.6931471805599453,2.270220808561046e-5
dovish,business correspondent,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,business debt,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,compositional effects,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,cyclical recovery,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,financial shocks,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,free enterprise,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,frequency trading,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,guoqiang attends,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,highly accommodative,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,low profitability,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,mass national,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,oecd employment,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,plath pes,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,residential construction,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,restructuring process,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,scale asset,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,securities analysts,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,staff discussion,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,term prospects,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,urban development,26,3.1539312540030664e-5,0.6931471805599453,2.1861385563921183e-5
dovish,adequate liquidity,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,budget surplus,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,business people,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,canadian exports,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,cyclical factors,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,demand conditions,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,demographic dividend,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,development loans,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,diverse range,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,exchange settlement,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,expedited recredit,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,fall short,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,golden decade,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,greenhouse gas,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,home buyers,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,information companies,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,leveraged finance,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,lower exchange,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,management capabilities,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,planning process,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,policy easing,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,policy effects,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,policy normalization,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,property sector,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,reverse repos,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,stocks held,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,total employment,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,uk insurers,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,wage workers,25,3.0326262057721793e-5,0.6931471805599453,2.1020563042231906e-5
dovish,adopt basel,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,australian business,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,bond prices,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,bond purchase,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,credit bureaus,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,dwelling investment,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,economic weakness,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,equity release,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,final demand,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,growth model,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,inclusive finance,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,lending decisions,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,lower productivity,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,management actions,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,market pressures,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,national debt,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,price shock,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,public lecture,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,qualifying criteria,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,rate cut,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,retirement benefits,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,sensitive capital,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,settlement cycle,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,superannuation funds,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,supervisory statement,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,term repo,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,unconventional policy,24,2.911321157541292e-5,0.6931471805599453,2.017974052054263e-5
dovish,benefit payments,23,2.790016109310405e-5,0.6931471805599453,1.9338917998853353e-5
dovish,broadly consistent,23,2.790016109310405e-5,0.6931471805599453,1.9338917998853353e-5
